时间,机构1牵制拉力1(kN),机构1牵制拉力2(kN),机构2牵制拉力1(kN),机构2牵制拉力2(kN),机构3牵制拉力1(kN),机构3牵制拉力2(kN),机构4牵制拉力1(kN),机构4牵制拉力2(kN),机构1牵制状态角(°),机构2牵制状态角(°),机构3牵制状态角(°),机构4牵制状态角(°),机构1储气罐压力1(MPa),机构1储气罐压力2(MPa),机构2储气罐压力1(MPa),机构2储气罐压力2(MPa),机构3储气罐压力1(MPa),机构3储气罐压力2(MPa),机构4储气罐压力1(MPa),机构4储气罐压力2(MPa),机构1内部温度(°C),机构2内部温度(°C),机构3内部温度(°C),机构4内部温度(°C),机构1解锁到位时间(s),机构2解锁到位时间(s),机构3解锁到位时间(s),机构4解锁到位时间(s),机构1释放好时间(s),机构2释放好时间(s),机构3释放好时间(s),机构4释放好时间(s),机构1释放到位时间(s),机构2释放到位时间(s),机构3释放到位时间(s),机构4释放到位时间(s),机构1火引爆时间,机构2火引爆时间,机构3火引爆时间,机构4火引爆时间,数字供电,驱动供电1,驱动供电2,5V1,5V2,5V3,帧计数
2026-05-04 16:47:34.405,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4559
2026-05-04 16:47:34.444,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4564
2026-05-04 16:47:34.477,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4569
2026-05-04 16:47:34.530,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4574
2026-05-04 16:47:34.547,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4579
2026-05-04 16:47:34.593,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4584
2026-05-04 16:47:34.612,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4589
2026-05-04 16:47:34.613,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4594
2026-05-04 16:47:34.614,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4599
2026-05-04 16:47:34.615,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4604
